,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
1046,01hmS,r4rk1/p4ppp/Q7/3pb3/1B1Np2q/P3P3/4BPK1/1RR5 w - - 3 26,b4f8 h4h2 g2f1 h2h1,1354,74,93,643,mate mateIn2 middlegame short,https://lichess.org/FMCNOXPz#51
1047,01hy9,3r4/p4kp1/8/1pP1r3/4N2P/1P2KP2/P7/6R1 b - - 0 38,d8c8 e3d4 c8c5 e4c5,2118,75,85,264,crushing endgame master short,https://lichess.org/6KAd7bDI/black#76
1048,01hzW,3r4/1p5p/2kb3R/p4pP1/Prp2P2/K3P1N1/1P6/3R4 w - - 0 34,g3f5 b4a4 a3a4 b7b5 a4a5 d8a8,2063,110,38,15,attraction doubleCheck endgame long mate mateIn3 sacrifice,https://lichess.org/084UsBdW#67
1049,01i0h,r4rk1/1ppbqpNp/7P/3P4/2PBP1p1/6b1/3Q2P1/2R2K1R b - - 6 28,e7e4 g7h5 g3e5 d2g5 e4g6 g5e5,2240,75,83,177,crushing deflection kingsideAttack long middlegame,https://lichess.org/YLdDEAwS/black#56
1050,01i3C,6k1/2p2pp1/4p1np/1R6/3Pb3/2P2NB1/5PPP/r5K1 w - - 1 24,f3e1 a1e1,718,91,78,319,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/30wb4u3H#47
1051,01i3o,5r1k/p2q2pb/3p4/2r1pPp1/P1p1Q1N1/2P3PP/5RK1/3R4 w - - 8 31,g4e5 d7e8 e5g6 h7g6 e4e8 g6e8,2513,96,89,1143,advantage long middlegame,https://lichess.org/DUJsA70P#61
1052,01iLZ,2r3k1/6pp/2b5/3R4/3P4/R3P1BP/5P1K/1r6 w - - 3 34,a3c3 b1h1 h2h1 c6d5 h1h2 c8c3,1705,75,96,9305,attraction crushing discoveredAttack endgame long,https://lichess.org/14MuiCrV#67
1053,01iU9,5q1k/pbb5/1p2BnQ1/2p1p3/4P3/8/PPPN1P2/6RK w - - 3 40,g6g8 f6g8 g1g8 f8g8 e6g8 h8g8,1159,77,95,507,crushing long middlegame,https://lichess.org/eIim0OI7#79
1054,01iaw,8/p2r1k1p/8/8/4P3/3p2P1/PP3K1P/3B4 b - - 3 32,f7e6 d1g4 e6e5 g4d7,858,77,98,1384,crushing endgame short skewer,https://lichess.org/fJz63hMQ/black#64
1055,01ibl,2k5/pb2r3/1pn1R3/2p4q/2B5/2PP2Q1/PP3PP1/6K1 b - - 0 36,e7e6 c4e6 c8d8 g3d6,1335,354,100,2,crushing endgame short,https://lichess.org/FF1vHRyx/black#72
1056,01icD,r4rk1/2p1q1p1/p7/Q2Rp2b/7P/2N1P1B1/PP3P2/2K5 b - - 1 24,a8d8 d5e5 e7d7 e5d5,1831,273,100,7,crushing fork middlegame short,https://lichess.org/S74huRTI/black#48
1057,01ifd,3bB1k1/1q1P1p1p/6p1/p3B3/Pp2n3/2r4P/4QPP1/3RR1K1 w - - 1 33,e2f3 c3f3 g2f3 e4g5,1946,76,79,180,crushing middlegame short,https://lichess.org/ffSXfkk2#65
1058,01iy8,2r3k1/2P2pp1/6r1/3p2qp/3N2b1/2R1P3/3Q1PPP/2R4K w - - 1 28,c3b3 g4f3 c1g1 f3g2 g1g2 g5g2,1776,76,84,122,long mate mateIn3 middlegame,https://lichess.org/2ku2FXte#55
1059,01j49,1Rb2rk1/6p1/p2p2p1/B2P2P1/2Pp4/P6P/4Bb2/6K1 w - - 3 35,g1g2 c8h3 g2h3 f8b8,924,92,92,277,advantage discoveredAttack endgame short,https://lichess.org/CdAXuaxM#69
1060,01jKd,8/8/2p3p1/p1k4p/P3Pp1P/3K1P2/8/8 b - - 1 41,c5b4 e4e5 b4c5 d3e4,1852,79,79,171186,advantage endgame pawnEndgame quietMove short zugzwang,https://lichess.org/phhI7L7I/black#82
1061,01jRL,r5k1/4p1b1/p2qN1p1/1p1P3p/1Pp3b1/Q1N3P1/P4rBP/4R2K b - - 3 30,g7e5 c3e4 d6b6 e4f2 b6f2 e1e5 f2d2 a3e3,2259,76,94,1671,advantage discoveredAttack fork middlegame veryLong,https://lichess.org/Al6dfD6O/black#60
1062,01jTV,2k4r/ppp3r1/3b1B2/4R3/1P2N1P1/P2P1p2/2P1n2P/5R1K b - - 4 31,d6e5 f6e5 h8h2 e5h2,2102,75,94,2413,crushing master middlegame short,https://lichess.org/7xrSiXWD/black#62
1063,01jUq,r5k1/pp4pp/4b2r/2B2pQ1/8/4PP2/P4KPq/R1R5 b - - 1 28,h2e5 c5d4 h6g6 g5g6 h7g6 d4e5,1687,75,83,116,crushing long middlegame,https://lichess.org/lDb0hdWj/black#56
1064,01jVT,r2Q1b1N/6pp/p1kn2q1/2pp4/5B2/2P2bP1/PP1N3P/R2K4 w - - 0 23,d2f3 g6d3 d1e1 d3e4,2309,81,90,1309,crushing fork middlegame short,https://lichess.org/vRSwvGdV#45
1065,01jbl,3rr1k1/pn3pp1/2pq3p/7n/B7/1PQ1BP1P/P1P2P1K/RN3R2 w - - 11 25,h2h1 h5g3 f2g3 d6g3,2274,83,71,59,advantage kingsideAttack middlegame sacrifice short,https://lichess.org/zyyCH6uq#49
1066,01kNt,1rr3k1/5p2/3p2p1/3PP2R/1p6/2p2P2/2Q3PP/6K1 w - - 0 32,h5h4 b4b3 c2c1 b3b2 c1h6 b2b1q g1f2 b8b2 f2g3 b1e1 g3h3 e1h4,1604,76,93,6427,advancedPawn crushing endgame promotion queenRookEndgame veryLong,https://lichess.org/MKPmOKMd#63
1067,01kVV,2r5/1Qpq1k1p/1p1p2p1/4pn2/3r4/4N2P/P1P2PP1/R4RK1 b - - 11 27,d4d2 e3c4 d2c2 c4b6 c8b8 b7b8,2164,76,91,511,advantage long middlegame,https://lichess.org/zSTasuHn/black#54
1068,01kY6,6k1/8/6pr/5p2/1P1R1P2/8/3K4/8 b - - 0 47,h6h7 d4d8 g8f7 d8d7,1051,93,82,54,crushing endgame master rookEndgame short,https://lichess.org/cbDIHaXM/black#94
1069,01kad,1r5k/p4q1p/2Q2p2/4pN2/Pr2P3/1P1n3P/K1P2P2/4R2R w - - 5 27,e1b1 b4b3 b1b3 d3b4 a2b1 b4c6 b3b8 c6b8,2193,74,94,3227,advantage fork middlegame sacrifice veryLong,https://lichess.org/GJLzmM4C#53
1070,01l5R,5rk1/2p3n1/3p3p/pPp5/P1q2bQ1/5R2/6PP/5R1K w - - 0 33,f3f4 c4f1 f4f1 f8f1,1392,74,89,1248,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/GNv2K66y#65
1071,01l8G,3q2k1/5pp1/3Np2p/2b1P3/p1p1P3/2B4P/1Q3PP1/6K1 w - - 0 38,d6b7 d8d1 g1h2 a4a3 b2a1 d1a1 c3a1 c5b4,2277,82,90,1365,advantage defensiveMove endgame veryLong,https://lichess.org/Az38qMpJ#75
1072,01lAW,2r1k2r/1b2q1bp/p5p1/2p1PnB1/2QPN3/8/PP4PP/R4RK1 b k - 1 20,e7d7 e4d6 f5d6 e5d6 g7d4 c4d4 c5d4 a1e1 d7e6 e1e6,2790,121,90,902,crushing exposedKing fork middlegame sacrifice veryLong,https://lichess.org/37LQpc1O/black#40
1073,01lB9,1qkr3r/pp1b2p1/5p2/3Pn2p/2Pp1B2/P2B2P1/1Q3P1P/1R3RK1 w - - 2 21,b2d4 e5f3 g1g2 f3d4 f4b8 c8b8,874,75,98,1221,advantage fork long middlegame,https://lichess.org/DAhE0yC8#41
1074,01lC9,r3k1r1/2bq1p1b/1np1pp1p/p3P2P/p1PPN3/1P3Q2/5PP1/R1B2RK1 b q - 3 25,c7d8 e4d6 d7d6 e5d6,1907,75,91,1447,crushing middlegame short,https://lichess.org/ULlIImIx/black#50
1075,01lTa,r4k2/1bp2pp1/1p1b3p/1N1P4/1pP5/P4B1P/4RPP1/6K1 w - - 0 30,a3b4 a8a1 e2e1 a1e1,1208,76,47,110,endgame mate mateIn2 short,https://lichess.org/Sek68KSv#59
1076,01liD,8/1pp2p2/p4qp1/1kR4p/1P6/7P/5PP1/1R4K1 b - - 4 36,b5a4 c5a5,1448,97,85,151,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/zPOLaCBb/black#72
1077,01lp3,r1b3Q1/p4R2/4p1p1/1p4kp/8/1KPB1n2/PP3q2/8 b - - 1 42,a7a6 g8g6 g5h4 f7f4 h4h3 g6h5,1392,76,97,4019,crushing deflection long middlegame,https://lichess.org/Lgz23o2V/black#84
1078,01m5k,4r1k1/pp2rp1p/5Rp1/1q6/8/1P4Q1/P4PPP/5RK1 w - - 1 22,a2a4 b5f1 g1f1 e7e1,1289,77,93,2398,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/JiGbkYf4#43
1079,01m8C,r4rk1/ppQ2pp1/3p2q1/1P1B4/3P4/P3n1P1/7P/R4RK1 w - - 0 24,d5f7 f8f7 c7f7 g6f7 f1f7 g8f7,935,101,94,92,advantage long middlegame,https://lichess.org/PGYgO9Rf#47
1080,01mGq,8/8/p1k3p1/P1P2p2/2K3Pp/7P/8/8 w - - 0 51,g4f5 g6f5 c4d4 f5f4,874,98,83,96,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/ROGXECAH#101
1081,01mH1,8/n5pp/P1pk1p2/5P2/1PPK2P1/7P/8/8 b - - 0 36,g7g6 f5g6 h7g6 h3h4 c6c5 b4c5,2007,96,78,31,crushing endgame knightEndgame long quietMove,https://lichess.org/0Sy81sko/black#72
1082,01mLC,7k/p1q4p/5Pp1/1ppb4/3n1PQ1/2KP4/PP6/2R4R w - - 0 27,h1e1 c7a5 b2b4 a5b4,1989,74,96,4871,endgame mate mateIn2 short,https://lichess.org/eUNPlEHz#53
1083,01mUL,8/p1r1k3/1p1R1p1p/P7/1P6/7P/6PK/8 w - - 1 51,a5b6 e7d6 b6c7 d6c7,1451,80,63,52,crushing endgame rookEndgame short,https://lichess.org/rL9bhk8c#101
1084,01mVv,1k1r2nr/1p5p/p3Qpb1/4n3/3q4/2BB4/PPP2PPP/R4RK1 b - - 1 20,d4d7 c3e5 b8a7 e6d7,1636,74,93,1155,advantage middlegame queensideAttack short,https://lichess.org/1kDyJqxz/black#40
1085,01mWJ,8/8/7p/2k1p1p1/4N1P1/r4PN1/4K3/8 b - - 1 58,c5d4 g3f5 d4c4 f5h6,1922,234,100,8,crushing endgame short,https://lichess.org/8TM1vZyY/black#116
1086,01mgz,2rq1rk1/1b3ppp/p2p1Nn1/1p3N2/4P3/3Qp3/PPP3PP/R4R1K b - - 0 20,d8f6 f5h6 g7h6 f1f6,1316,78,88,69,advantage discoveredAttack kingsideAttack master middlegame short,https://lichess.org/1E9dZ74A/black#40
1087,01miF,8/pp6/2q1r1kp/P4p2/2p2Q2/2P3P1/5P1K/3R4 b - - 5 35,e6e4 d1d6 c6d6 f4d6,921,82,91,568,advantage endgame fork short,https://lichess.org/Q5rZ5lBG/black#70
1088,01mr0,3qr1k1/R5p1/3p3p/1p2p3/6Pb/4BP1P/1PQ5/6K1 w - - 0 24,e3h6 d8b6 g1g2 b6a7,1179,76,88,199,crushing endgame fork short,https://lichess.org/6X1do4jb#47
1089,01mvq,4r1k1/pp3ppp/1q4b1/1Nb3B1/2Q5/2P4P/PP3PP1/R5K1 w - - 1 24,g5h4 e8e4 b5d4 e4h4,1718,135,100,35,crushing interference middlegame short,https://lichess.org/9WWBV3nN#47
1090,01mxd,8/4rk1p/P4p2/5R2/3b4/1P5P/2P3P1/1K6 w - - 1 36,f5d5 e7e1 b1a2 e1a1,1090,232,67,2,endgame mate mateIn2 short,https://lichess.org/AmnKKBMZ#71
1091,01n7q,Bn2k2r/p3pp1p/3p2p1/8/8/2P3b1/P1QB1P1q/3RR1K1 w k - 5 23,g1f1 h2f2,1340,92,97,165,mate mateIn1 middlegame oneMove,https://lichess.org/re67BROS#45
1092,01nEK,3Q3k/1pb2rpp/p5q1/3Q3n/8/1PN1P2P/1PP3P1/R6K b - - 0 30,c7d8 d5d8 f7f8 d8f8,725,105,89,118,mate mateIn2 middlegame short,https://lichess.org/fe38YKSa/black#60
1093,01nj2,2r2r2/6k1/p3p1bp/4P1b1/1p1P4/2P1N1B1/PP1K2P1/4R2R w - - 0 34,h1f1 b4c3 b2c3 g5e3 e1e3 f8f1,2127,78,93,4477,advantage long middlegame,https://lichess.org/ySWi8zV7#67
1094,01njv,2br1n1k/p5Rp/1p4p1/8/2Bp4/1N5Q/P1P3PP/6K1 b - - 0 30,c8h3 g7g8,1288,79,88,264,endgame mate mateIn1 oneMove,https://lichess.org/HvGPutY7/black#60
1095,01o3H,r4rk1/BRp2pp1/3b3p/8/2P2P2/6P1/P6P/3R2K1 w - - 1 23,c4c5 a8a7 b7a7 d6c5 g1f1 c5a7,1334,76,93,1157,attraction capturingDefender crushing endgame fork long,https://lichess.org/uIXKzgJg#45
1096,01oFC,3q1rk1/5pb1/1p3np1/3b3p/3B3P/1B1PP3/2P1QP2/1N2K1R1 w - - 1 21,g1g6 f7g6,1443,210,-100,5,crushing hangingPiece middlegame oneMove,https://lichess.org/h5UkgZtT#41
1097,01oV7,4n3/3R4/1pP1r2k/7p/1P4p1/8/6BP/7K w - - 0 48,c6c7 e6e1 g2f1 e1f1 h1g2 f1c1,1660,76,97,9009,crushing endgame long,https://lichess.org/CQVtd368#95
1098,01oWi,8/p7/8/1PP1p3/4K1k1/2b3P1/8/8 b - - 0 48,g4g3 b5b6 a7b6 c5c6,2017,72,93,6261,bishopEndgame crushing endgame short,https://lichess.org/pbHmn2fH/black#96
1099,01ojd,3r1rk1/1pp2ppp/pb1p2N1/4p3/1P1n4/PB1P3P/1BP2PP1/R4R1K b - - 0 21,d4b3 g6e7 g8h8 c2b3,1564,84,51,50,advantage intermezzo middlegame short,https://lichess.org/XqhQPE3U/black#42
1100,01olo,r5k1/1pr1qpp1/2b1p1np/p3P3/Pn1N4/BB2R3/3Q1PPP/3R2K1 b - - 7 24,a8d8 d4c6 b4c6 a3e7 d8d2 d1d2,1650,74,93,561,advantage long middlegame,https://lichess.org/J2bSd8tS/black#48
1101,01our,8/p4R1p/1p4k1/4p3/5n2/PN2KP2/2r4P/8 w - - 1 32,f7a7 c2e2,1495,85,38,228,endgame hookMate mate mateIn1 oneMove,https://lichess.org/7V5KUJI5#63
1102,01oz9,1k6/1p6/pK4p1/7p/P1P5/4R1P1/6r1/8 b - - 1 35,g2d2 e3e8 d2d8 e8d8,1013,141,43,17,endgame mate mateIn2 rookEndgame short,https://lichess.org/uxLPTKFb/black#70
1103,01p5M,1r6/p1p2n2/1pk2Pp1/6r1/8/2N5/PPP4K/3R1R2 w - - 2 24,f1g1 b8h8,1258,93,100,150,endgame mate mateIn1 oneMove,https://lichess.org/duXviz7r#47
1104,01pBQ,1r4k1/3b1p1p/3pp1p1/Pp5q/1N6/1Pr1PP2/4QP1P/1R3R1K b - - 4 25,h5c5 b4a6 c5c8 a6b8,1303,76,77,234,advantage fork master middlegame short,https://lichess.org/oWbSNJ9g/black#50
1105,01pRy,6k1/3r2p1/p1b5/1p1qPp2/5B2/Q7/1P4PP/6RK w - - 10 44,a3a6 d5g2 g1g2 d7d1,1477,79,83,119,clearance endgame mate mateIn2 pin sacrifice short,https://lichess.org/Y00u9Q6G#87
1106,01pSj,8/5k2/8/2N1p1p1/1P2Pn1p/2P2P1P/5RP1/1r4K1 w - - 4 37,g1h2 f4h5 g2g3 h4g3 h2g2 g3f2,2043,74,91,1267,advancedPawn crushing endgame fork long quietMove,https://lichess.org/WNAGgVqn#73
1107,01pTi,r2q2k1/5ppp/p2B4/2p5/1p1n4/6Q1/PPP3PP/2K4R w - - 1 22,d6c5 d4e2 c1b1 e2g3,844,77,94,907,crushing endgame fork short,https://lichess.org/vGBml73p#43
1108,01q4A,r7/ppk5/2n3pp/2b1pN1q/3pP1n1/1P5P/1P2N1P1/R1BQ1R1K w - - 0 22,e2g3 g4f2 h1h2 h5d1 f1d1 f2d1,1790,76,61,198,advantage discoveredAttack long middlegame,https://lichess.org/hg5vu1MY#43
1109,01qBb,4rk2/1p2n3/1N2b3/pN2b1pB/P1P1pp2/8/1P3PP1/3RK3 b - - 3 34,e6f7 b6d7 f8g7 h5f7,1770,74,91,1864,crushing fork master middlegame short,https://lichess.org/bFN9cF7d/black#68
1110,01qGo,1k1r4/p7/1pQ1pP2/2p4q/P1P4P/8/1BP2PP1/6K1 w - - 1 27,f6f7 d8d1 g1h2 h5h4,1430,436,33,2,endgame mate mateIn2 short,https://lichess.org/vsyYDWH6#53
1111,01qI9,1r6/1n4p1/1P1p1kp1/4p3/4P3/3K1P1P/5BP1/2R5 w - - 11 46,d3c4 b8c8 c4b5 c8c1,1431,75,88,1130,crushing endgame short skewer,https://lichess.org/EHkqqYZ1#91
1112,01qIp,5rk1/p5pp/2ppp3/4p2R/4N1q1/5Q2/PPP3P1/1K6 w - - 3 22,f3g4 f8f1 g4d1 f1d1,674,94,91,1210,backRankMate endgame mate mateIn2 short,https://lichess.org/RquBZOf4#43
1113,01qi9,8/8/p6p/1p3k2/6p1/PP2K1P1/7P/8 b - - 0 55,a6a5 e3d4 b5b4 a3b4,1668,75,85,186,crushing endgame pawnEndgame short,https://lichess.org/pjAuJRDB/black#110
1114,01qx9,3r3r/p1kq4/1pp5/3p2p1/QN1Pp1bp/P7/1PP3PP/R4R1K b - - 3 25,h4h3 f1f7 c7d6 f7d7,2132,143,100,27,crushing middlegame pin short,https://lichess.org/2gnDx23T/black#50
1115,01r0n,6k1/p1r3bp/R1n1p1p1/3p1p2/Br1P4/4PNqP/1PP3P1/Q3R1K1 b - - 1 25,b4b6 a6b6 a7b6 a4c6,1715,80,78,58,advantage middlegame short,https://lichess.org/4HnEC823/black#50
1116,01r7u,8/1p1k1pp1/p5p1/3nR3/3P4/Q5P1/P3KP1r/7q b - - 9 32,d7c6 a3c5 c6d7 e5d5 h1d5 c5d5,1497,233,71,10,crushing deflection endgame exposedKing long,https://lichess.org/myiacqxm/black#64
1117,01rGW,6B1/p2R4/5p1p/r5k1/4b3/6P1/P5PK/8 b - - 9 44,a5c5 d7g7 g5f5 g8h7 f5e6 h7e4,1483,74,89,950,advantage deflection endgame long skewer,https://lichess.org/Jz8c5wYb/black#88
1118,01rIM,1r2r1kb/7p/3pP1pB/p1q1n3/2p1PN2/P1P5/B2Q4/2KR3R w - - 3 25,d1g1 c5a3 c1d1 b8b2,2054,156,100,10,crushing middlegame queensideAttack short,https://lichess.org/rtwuBu78#49
1119,01rfX,2r3k1/1b1nqpp1/3Qp2p/1Pp5/2N5/4P3/r3BPPP/1RR3K1 b - - 10 25,e7h4 d6d7 a2e2 d7b7,1958,157,75,8,crushing hangingPiece master middlegame short,https://lichess.org/uTUCvT9M/black#50
1120,01riG,8/8/6kp/2R1PNp1/2P5/1P4K1/r7/4n3 w - - 5 35,e5e6 a2g2 g3h3 g5g4 h3h4 e1f3,1578,74,97,9207,endgame exposedKing long mate mateIn3,https://lichess.org/XCT1rd46#69
1121,01rp4,8/ppQ3p1/2b1p1k1/3q1n2/3P4/4B3/5PPP/R5K1 w - - 3 28,c7f4 d5g2,1054,168,100,30,endgame mate mateIn1 oneMove,https://lichess.org/dN3MD73I#55
1122,01s3S,1r6/8/3q1kp1/3p1p2/1P1P3Q/2P5/3n1PPP/4R1K1 b - - 12 35,f6g7 e1e7 d6e7 h4e7,882,75,100,88,crushing endgame short,https://lichess.org/tSH88PE5/black#70
1123,01s5n,3r4/p4ppk/2q4p/2NpPb2/1P1Q4/2P2P2/P6P/3R3K w - - 11 41,c3c4 d5c4 d4d8 c6f3,1108,77,83,329,advantage discoveredAttack endgame pin sacrifice short,https://lichess.org/vJr2AQeC#81
1124,01s7f,2k2N2/pp6/3P4/2p2N2/P3Pqp1/2P2r1r/1P2Q1Kp/5R1R w - - 1 35,f5e7 c8b8 f1f3 g4f3 g2h3 f3e2,1988,75,90,377,advancedPawn crushing exposedKing fork long middlegame,https://lichess.org/UbvYjQXX#69
1125,01sGM,3q1r1k/6pp/4Qn2/8/3P1R2/5P2/r6P/2R1B2K b - - 0 32,a2h2 h1h2 d8b8 e1d2,2129,84,85,30,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/SJtPkORi/black#64
1126,01sIs,7r/2k1n1b1/1pqp1pp1/1R2p2p/2PpP3/r2P1B1P/PQ2NKP1/R7 b - - 1 26,h8a8 e2d4 e5d4 e4e5 d6d5 c4d5,1813,194,90,11,crushing long middlegame sacrifice,https://lichess.org/u5IRJkzm/black#52
1127,01sJv,r4rk1/pb2q1pp/1p6/1N3p2/4p1Q1/4P3/P1B2KPP/1R5R w - - 0 26,g4g3 f5f4 e3f4 e7c5,1956,80,79,34,advantage middlegame short,https://lichess.org/ktJ53kXh#51
1128,01sLK,4q3/2r2p1k/4pRrp/4P2Q/2ppPB2/8/1PP3P1/7K b - - 3 37,e8f8 h5g6 f7g6 f6f8,1769,73,95,9075,advantage endgame short,https://lichess.org/MBIZxdJr/black#74
1129,01sMU,8/2r3p1/5k2/4R3/1pp2P2/5K2/PP6/8 w - - 0 42,f3e3 c4c3 b2c3 b4c3 e3d4 c3c2,1666,76,96,1569,endgame,https://lichess.org/SB1n9X94#83
1130,01sTk,6k1/5pp1/4p3/3p1q1P/2rP3R/4QPK1/8/8 b - - 4 34,g7g5 h5g6 f7g6 e3h6,2020,81,83,136,crushing enPassant endgame short,https://lichess.org/FKimk9Dm/black#68
1131,01sW7,6k1/3n2pp/4p3/2p1b1P1/4P3/1P3RNP/3Q2BK/qr6 b - - 1 32,d7f8 d2d8 e5g3 h2g3 a1e5 f3f4,2405,82,85,71,crushing long master middlegame,https://lichess.org/YfwICqAS/black#64
1132,01skO,r4r1k/pp2q3/4p1Q1/1b1p1p2/3R1R2/2P4P/PP4P1/7K b - - 4 27,f8f7 f4h4 f7h7 h4h7 e7h7 g6f6 h8g8 d4h4 h7h4 f6h4,1786,272,100,5,crushing exposedKing fork middlegame veryLong,https://lichess.org/wIC3CEEU/black#54
1133,01sqg,4rr1k/pp4pp/2p1Bn2/2b1pP1q/8/2NP1R2/PPPB2QP/4K3 b - - 6 20,f6d5 f3h3 c5f2 e1f2 h5h3 g2h3,1624,74,93,1027,crushing long middlegame trappedPiece,https://lichess.org/6y7s342f/black#40
1134,01sr1,8/k7/p5R1/1p5p/3b1P1K/1P1r3P/1P2R1P1/7r b - - 0 48,h1d1 e2e7 a7b8 g6g8,923,76,100,138,endgame mate mateIn2 short,https://lichess.org/PFhVPn5z/black#96
1135,01srl,2r1r3/pQ5p/5kp1/1P6/P7/8/5PPP/4R1K1 w - - 1 34,e1e8 c8c1 e8e1 c1e1,1042,76,97,2314,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/T6cxLj6c#67
1136,01sxB,8/6p1/3k3r/1R6/6Kp/7P/5P2/8 b - - 0 50,h6f6 b5b6 d6e7 b6f6 e7f6 g4h4 g7g5 h4h5,2375,90,82,67,crushing endgame rookEndgame veryLong,https://lichess.org/MUlIWoeK/black#100
1137,01t6f,r4rk1/2qb2pp/p2bp3/1p1nnN2/1P2Q3/P1P3N1/2B2PPP/R1B2RK1 b - - 0 21,d5c3 f5h6 g7h6 e4h7,1842,75,97,2459,discoveredAttack kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/zgaMr6Zr/black#42
1138,01t8S,N1bk3r/pp1p4/3R1n2/7p/2Q1P1q1/8/PPP1KR2/8 w - - 1 28,f2f3 g4g2 f3f2 g2e4 c4e4 f6e4,2396,79,84,185,crushing exposedKing long middlegame,https://lichess.org/fL85dAcw#55
1139,01tUB,8/8/p4k2/P2p3p/3P1K1P/8/8/8 w - - 4 48,f4f3 f6f5 f3e3 f5g4,834,98,85,287,crushing endgame pawnEndgame short zugzwang,https://lichess.org/g3LPb3Po#95
1140,01tcI,2kr1bnr/pppb2pp/2n1p3/3pP3/3P1B2/2P3P1/PP1N1KBq/R2Q2N1 b - - 2 12,f8e7 d2f1 h2h6 f4h6,1472,361,100,3,equality middlegame short trappedPiece,https://lichess.org/ITYDEMNb/black#24
1141,01tei,8/8/8/1kr2P1R/8/6K1/8/8 w - - 0 52,f5f6 c5h5 g3g4 h5h8 g4f5 b5c6,2276,81,100,67,crushing defensiveMove endgame hangingPiece long quietMove rookEndgame,https://lichess.org/DlcVV8pm#103
1142,01tg7,8/1bnr2pk/4pq1p/p1p1Rp2/P1B2P2/1PP3Q1/3r1BPP/4R1K1 w - - 1 44,f2c5 d2g2 g3g2 b7g2,1376,74,93,837,advantage fork middlegame short,https://lichess.org/TaHSAsYD#87
1143,01tgp,6r1/4pk2/p1rp1n2/4pQ2/Np2P3/1P2qRp1/P1P5/1K3R2 b - - 1 33,e3e2 f5h5 g8g6 f3f6 e7f6 h5e2,1980,106,100,47,crushing discoveredAttack long master middlegame pin,https://lichess.org/PXmzJTvm/black#66
1144,01ti6,4n1k1/K5b1/1p6/7p/1P1B1PpP/P3P1P1/8/8 b - - 0 46,g7d4 e3d4 b6b5 a7b6 e8d6 b6c7,2546,106,85,29,crushing endgame long,https://lichess.org/8qL1LjAS/black#92
1145,01tjR,r1b1r1k1/p4p1p/1p1p4/2pP1P2/2P4q/3Q2NP/PP5K/R4R2 w - - 1 24,g3e4 e8e4,1423,87,0,60,crushing middlegame oneMove,https://lichess.org/SO8FuvCV#47
1146,01tjv,4rr1k/2p3pp/p2P4/1p3p2/1P4n1/1BP1qP1R/P4QP1/R5K1 w - - 0 25,f3g4 e3f2 g1f2 f5g4 f2g1 g4h3,1345,76,96,9443,advantage discoveredAttack intermezzo kingsideAttack long middlegame,https://lichess.org/HIXIuFaM#49
1147,01tqF,2r2rk1/p4ppp/1p2p3/3pP2Q/3N4/7R/P4PPP/R1q3K1 w - - 1 23,a1c1 c8c1 h5d1 c1d1,600,108,53,178,backRankMate endgame mate mateIn2 short,https://lichess.org/owD26G0W#45
1148,01tyT,8/5p2/3Q4/6pk/PP4qp/6P1/5PKP/8 w - - 2 48,d6c5 h4h3 g2f1 g4d1,1483,102,87,31,endgame mate mateIn2 queenEndgame short,https://lichess.org/nHIZqqzx#95
1149,01u1D,5rk1/5Qpp/1r3p2/6q1/1PB4n/P6P/5PP1/3R1R1K b - - 0 22,f8f7 d1d8,1147,146,100,59,mate mateIn1 middlegame oneMove pin,https://lichess.org/DVuLGJSS/black#44
1150,01u1v,1qr3k1/1r3ppp/p2p4/b2P4/4PpPP/2P5/PP1QN3/K2R3R w - - 0 23,e2f4 b7b2 d2b2 a5c3 b2c3 c8c3,1647,74,93,237,advantage long middlegame pin sacrifice,https://lichess.org/54S4ocKV#45
1151,01u7X,3r2k1/4qp2/4r1pp/1p6/pP5P/4bRP1/P1B1Q1PK/5R2 w - - 1 30,h2h1 d8d2 e2b5 d2c2,1260,75,90,611,advantage interference middlegame short,https://lichess.org/O32ftR2e#59
1152,01uAD,8/1R5p/p5p1/3N3k/PP3P2/6K1/5r1r/8 b - - 4 47,g6g5 b7h7 h5g6 h7h2,1487,77,83,139,crushing endgame short,https://lichess.org/zHEZrOIo/black#94
1153,01uDY,4R3/p2r1ppk/7p/3p4/P2Q4/2P2P1P/6PK/1q6 b - - 2 31,b1b7 d4d3 g7g6 d3d4 f7f6 d4f6,1360,75,92,510,crushing endgame long,https://lichess.org/YUgdyZZJ/black#62
1154,01uDg,1q2nr1k/5p1p/4NP2/p7/5p1Q/4R3/1PP3PP/1K6 b - - 0 32,f4e3 e6f8 e8f6 h4f6,1007,80,95,506,crushing endgame hangingPiece master short,https://lichess.org/RCNZUXRe/black#64
