,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
25,003Tx,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1648,84,85,569,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53
26,003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1097,77,93,1628,crushing exposedKing long middlegame skewer,https://lichess.org/n9vCFmKh/black#72
27,003jH,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,1099,77,89,279,crushing fork long middlegame,https://lichess.org/3CQGofXT#49
28,003jv,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,986,82,89,333,crushing endgame fork short,https://lichess.org/n0UvwK36#73
29,003nQ,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1307,91,65,24,crushing kingsideAttack master middlegame pin short,https://lichess.org/p85fiZcl#57
30,003wQ,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1934,76,93,934,advantage discoveredAttack middlegame pin short,https://lichess.org/W3wvnzlo#47
31,0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,652,78,98,791,backRankMate mate mateIn2 middlegame short,https://lichess.org/DuM2FZjg/black#48
32,0048h,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1137,127,88,19,crushing endgame exposedKing long rookEndgame,https://lichess.org/dq15P00L#69
33,004Ao,4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w - - 5 41,g7f7 e8f7 e5h8 f8e7,1735,99,86,17,advantage endgame short,https://lichess.org/aFlzjb1K#81
34,004LZ,8/7R/5p2/p7/7P/2p5/3k2r1/1K2N3 w - - 3 48,e1g2 c3c2 b1a2 c2c1q h7d7 d2e2,1188,77,91,1786,advancedPawn crushing defensiveMove deflection endgame long promotion,https://lichess.org/drahwNdj#95
35,004Op,2kr2r1/1bp4n/1pq1p2p/p1P5/1P3B2/P6P/5RP1/RB2Q1K1 w - - 3 26,e1f1 d8d1 f1d1 g8g2 g1f1 g2g1 f1e2 g1d1,2164,76,91,728,crushing deflection kingsideAttack middlegame pin sacrifice skewer veryLong,https://lichess.org/tneg9Bzk#51
36,004RF,5rk1/5ppp/1p6/1qp2P1Q/3p3P/6R1/6PK/8 b - - 0 30,c5c4 g3g7 g8g7 f5f6 g7f6 h5b5,1788,80,76,44,attraction crushing discoveredAttack endgame long sacrifice,https://lichess.org/2UeWcE4h/black#60
37,004X6,1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/Rr4K1 w - - 1 26,a1b1 b8b1 d2d1 b1d1,1176,278,83,11,endgame mate mateIn2 short,https://lichess.org/wvPFkjF9#51
38,004d8,8/4kr2/R2p4/1p1Pp1p1/5p2/3K1P2/PPP5/8 b - - 0 39,g5g4 a6a7 e7f6 a7f7 f6f7 f3g4,1730,87,100,66,crushing endgame long rookEndgame,https://lichess.org/FrR3BHbW/black#78
39,004iZ,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,1004,77,98,574,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dQ85JUe1/black#40
40,004nd,3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24,c7d7 e4f6 d8f6 h6f6,898,75,83,204,crushing fork middlegame short,https://lichess.org/IajkZZBp/black#48
41,004sY,8/2k3n1/3p2p1/1KpP2Pp/2P4P/7B/8/8 w - - 0 57,b5a6 c7d8 a6b5 g7f5,2191,95,68,30,crushing endgame short,https://lichess.org/sMrTPfXp#113
42,004sg,6k1/p3b2p/1p1pP3/2p3P1/1Pnp3B/P6P/3Q3K/8 w - - 0 38,b4c5 c4d2 c5c6 d6d5 g5g6 e7d6,2612,103,90,827,advantage clearance endgame hangingPiece long quietMove,https://lichess.org/pSRIvt7K#75
43,004zI,2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1397,82,88,135,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54
44,0050w,5rk1/1p2p1rp/p2p4/2pPb2R/2P1P3/1P1BKP1R/8/8 b - - 4 30,g7g3 h3g3 e5g3 h5g5 g8f7 g5g3,853,77,96,1153,crushing endgame fork long,https://lichess.org/QD8pUcTR/black#60
45,0055Y,r1b2rk1/p3pp2/2B4b/2Qpq3/3N2pp/4P3/2P2PPP/1R2K2R b K - 1 23,h6e3 f2e3 e5e3 e1d1,2089,77,77,134,advantage defensiveMove middlegame short,https://lichess.org/7Jpwzowt/black#46
46,005HF,3r1rk1/1pR3pp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1 w - - 2 27,c7g7 g8g7 h3g3 g7h8,1347,80,68,45,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/IqVPsfjB#53
47,005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,600,97,93,1126,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64
48,005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1440,309,100,8,defensiveMove equality middlegame short,https://lichess.org/zbi5w5Qy#49
49,005f3,r5k1/2p1pp2/pp4p1/1q1r4/5P2/2QP2R1/PP6/1K4R1 b - - 0 32,d5h5 g3g6 f7g6 g1g6 g8f7 c3g7 f7e8 g7g8 e8d7 g8e6 d7d8 g6g8,1986,73,95,7831,crushing endgame sacrifice veryLong,https://lichess.org/Prb24UzR/black#64
